extension,File Format,count,NARA Format ID
14,Tagged Image File Format,2210,
11,Tagged Image File Format,2210,
22,Tagged Image File Format,2208,
5,Tagged Image File Format,2207,
28,Tagged Image File Format,2207,
27,Tagged Image File Format,2204,
rul,InstallShield Rules File,2204,
30,Tagged Image File Format,2204,
33,Tagged Image File Format,2202,
13,Tagged Image File Format,2202,
19,Tagged Image File Format,2202,
16,Tagged Image File Format,2202,
23,Tagged Image File Format,2200,
24,Tagged Image File Format,2195,
29,Tagged Image File Format,2195,
44,Tagged Image File Format,2194,
37,Tagged Image File Format,2194,
25,Tagged Image File Format,2194,
ins,Windows Web Settings File,2194,
cpl,Windows Control Panel Applet,2193,
31,Unidentified,2191,
31,Tagged Image File Format,2189,
cgi,Common Gateway Interface script,2186,
45,Tagged Image File Format,2185,
36,Tagged Image File Format,2185,
32,Tagged Image File Format,2183,
m4p,iTunes Audio File,2183,
26,Tagged Image File Format,2183,
48,Tagged Image File Format,2182,
57,Tagged Image File Format,2182,
38,Tagged Image File Format,2181,
42,Tagged Image File Format,2181,
60,Tagged Image File Format,2178,
34,Tagged Image File Format,2177,
72,Tagged Image File Format,2172,
54,Tagged Image File Format,2171,
4,Tagged Image File Format,2171,
pptm,Microsoft PowerPoint 2007 Open XML,2170,
76,Tagged Image File Format,2169,
arx,Compressed ARX file archive,2169,NF00774
39,Tagged Image File Format,2169,
43,Tagged Image File Format,2168,
35,Tagged Image File Format,2168,
51,Tagged Image File Format,2168,
61,Tagged Image File Format,2167,
40,Tagged Image File Format,2166,
68,Tagged Image File Format,2166,
41,Tagged Image File Format,2165,
67,Tagged Image File Format,2165,
55,Tagged Image File Format,2163,
59,Tagged Image File Format,2163,
71,Tagged Image File Format,2161,
58,Tagged Image File Format,2161,
64,Tagged Image File Format,2159,
